"BioSample.Accession"	"Assembly.Accession"	"Status"	"nuccore_first_chrom"	"Release.Date"	"Modify.Date"	"id"	"title"	"platform"	"instrument_model"	"study_acc"	"organism_ScientificName"	"organism_taxid"	"bioproject"	"runCreateDate"	"runUpdateDate"	"nSRAs"	"run_SRAs"	"run_sizes"	"run_publicities"
"SAMD00000006"	"GCA_002369955.1"	"Complete Genome"	"NZ_AP014564.1"	"2016/11/25"	"2017/09/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000325"	"GCA_000828895.1"	"Complete Genome"	"NZ_AP014568.1"	"2014/05/17"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000326"	"GCA_000828915.1"	"Complete Genome"	"NZ_AP014569.1"	"2014/05/17"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000328"	"GCA_001547815.1"	"Complete Genome"	"AP014572.1"	"2015/02/24"	"2015/06/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000331"	"GCA_000828875.1"	"Complete Genome"	"NZ_AP014576.1"	"2014/05/21"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000332"	"GCA_001547835.1"	"Complete Genome"	"NZ_AP014585.1"	"2015/02/24"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000333"	"GCA_000829175.1"	"Complete Genome"	"NZ_AP014582.1"	"2014/04/17"	"2017/04/03"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000334"	"GCA_000828995.1"	"Complete Genome"	"NZ_AP014573.1"	"2014/12/23"	"2017/03/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMD00000344"	"GCA_000829395.1"	"Complete Genome"	"NZ_AP014680.1"	"2014/11/11"	"2017/04/10"	1096180	"Whole genome sequencing of Lactobacillus hokkaidonensis: Lactobacillus hokkaidonensis LOOC260"	"PACBIO_SMRT"	"PacBio RS II"	"DRP002401"	"Lactobacillus hokkaidonensis JCM 18461"	"1291742"	"PRJDB1726"	"2014/11/12"	"2016/01/28"	"4"	"DRR054113,DRR054116,DRR054114,DRR054115"	"360244590,532802277,353390616,376482867"	"true,true,true,true"
"SAMD00000344"	"GCA_000829395.1"	"Complete Genome"	"NZ_AP014680.1"	"2014/11/11"	"2017/04/10"	1096179	"Whole genome sequencing of Lactobacillus hokkaidonensis: Lactobacillus hokkaidonensis LOOC260"	"ILLUMINA"	"Illumina MiSeq"	"DRP002401"	"Lactobacillus hokkaidonensis JCM 18461"	"1291742"	"PRJDB1726"	"2014/11/12"	"2016/01/28"	"1"	"DRR024501"	"1491597620"	"true"
